"ChEMBL ID";"Assay Type";"Description";"Organism";"Compounds";"Activities";"BAO Format ID";"BAO Format";"Confidence Score";"Confidence Label";"Strain";"Source";"Tax ID";"Tissue ChEMBL ID";"Tissue Name";"Cell Type";"Subcellular Fraction";"Document ChEMBL ID";"PubMed ID";"DOI";"Year";"Journal";"Volume";"First Page";"Last Page";"Assay Parameters";"Assay Classification L1";"Assay Classification L2";"Assay Classification L3";"Variant Sequence Accession";"Variant Sequence Mutation"
"CHEMBL1021351";"F";"Antileishmanial activity against Leishmania donovani MHOM/ET/1967/HU3 (LV9) promastigotes after 72 hrs by MTT assay";"Leishmania donovani";"12";"12";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/ET/1967/HU3 (LV9)";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1139261";"19013795";"10.1016/j.bmcl.2008.10.126";"2009";"Bioorg Med Chem Lett";"19";"167";"169";"";"";"";"";"";""
"CHEMBL1074111";"F";"Ratio of suberoylanilide hydroxamic acid IC90 to compound IC90 for Leishmania donovani promastigotes";"Leishmania donovani";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1157662";"19914074";"10.1016/j.bmc.2009.10.042";"2010";"Bioorg Med Chem";"18";"415";"425";"";"";"";"";"";""
"CHEMBL1070291";"F";"Antileishmanial activity against Leishmania donovani MHOM/SC/00/1S-2D promastigotes assessed as plasma membrane integrity at 25 uM";"Leishmania donovani";"1";"1";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/SC/00/1S-2D";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1157544";"20128602";"10.1021/jm901677h";"2010";"J Med Chem";"53";"1788";"1798";"";"";"";"";"";""
"CHEMBL707048";"F";"Tested in vitro for leishmanicidal activity against Leishmania brasiliensis (2903) at the concentration of 10 ug/mL;+ indicates Less than 70% lysis of parasites";"Leishmania braziliensis";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5660";"";"";"";"";"CHEMBL1135076";"11844694";"10.1016/s0960-894x(01)00837-x";"2002";"Bioorg Med Chem Lett";"12";"659";"662";"";"";"";"";"";""
"CHEMBL703309";"F";"Antiparasitic activity against Leishmania donovani.";"Leishmania donovani";"21";"21";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1132618";"10090783";"10.1021/jm981074c";"1999";"J Med Chem";"42";"999";"1006";"";"";"";"";"";""
"CHEMBL1169079";"F";"Antileishmanial activity against Leishmania donovani (MHOM/IN/Dd8) amastigote infected in mouse J774 cells assessed as after 72 hrs by luminometry at 40 ug/ml";"Leishmania donovani";"6";"6";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"MHOM/IN/Dd8";"Scientific Literature";"5661";"";"";"J774";"";"CHEMBL1165910";"20371140";"10.1016/j.ejmech.2010.02.015";"2010";"Eur J Med Chem";"45";"2359";"2365";"";"";"";"";"";""
"CHEMBL1281939";"F";"Antimicrobial activity against Leishmania infantum promastigotes assessed as increase in hypodiploid cell formation after 24 hrs by flow cytometry";"Leishmania infantum";"2";"2";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5671";"";"";"";"";"CHEMBL1275508";"18644968";"10.1128/aac.01665-07";"2008";"Antimicrob Agents Chemother";"52";"3779";"3782";"";"";"";"";"";""
"CHEMBL1107426";"F";"Antileishmanial activity against Leishmania donovani by DNA fluorescence assay";"Leishmania donovani";"21";"21";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1157819";"20441198";"10.1021/jm100265s";"2010";"J Med Chem";"53";"4187";"4197";"";"";"";"";"";""
"CHEMBL1107427";"F";"Antileishmanial activity against Leishmania donovani at 10 ug/mL by DNA fluorescence assay";"Leishmania donovani";"4";"4";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"";"Scientific Literature";"5661";"";"";"";"";"CHEMBL1157819";"20441198";"10.1021/jm100265s";"2010";"J Med Chem";"53";"4187";"4197";"";"";"";"";"";""
"CHEMBL1104491";"F";"Antileishmanial activity against Leishmania amazonensis LV79 MPRO/BR/72/M1841 amastigotes infected BALB/c mouse assessed as lesion diameter at 5 mg/kg/day, intralesionally administered after 1 week post infection 3 times per week for 6 weeks measured on week 4 relative to control";"Leishmania amazonensis";"3";"3";"BAO_0000218";"organism-based format";"1";"1 - Target assigned is non-molecular";"LV79 MPRO/BR/72/M1841";"Scientific Literature";"5659";"";"";"";"";"CHEMBL1156236";"20356752";"10.1016/j.bmc.2010.03.018";"2010";"Bioorg Med Chem";"18";"2880";"2886";"";"";"";"";"";""
